,INVENTARISASI ASET SUNGAI ( Towari - Lasusua ) DI SULAWESI TENGGARA,,,,,,,,,,,,,,,,,,,,,,,
,TAHUN DATA :  2017,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
NO,Nama Sungai,I. INFORMASI WILAYAH SUNGAI,,,II. KODIFIKASI,,,Kondisi,III. LOKASI,III. LOKASI,,IV. MANFAAT,,,,V. DATA TEKNIS,,,V. DATA TEKNIS,,,,VI. KOORDINAT,
,,WS,DAS,Status,Kode bidang PU,Kode Dasar Jenis Infrastruktur,Kode Infrastruktur,,Kabupaten,Kecamatan,Kelurahan,Irigasi (Ha),DMI (m3/dtk),PLTA,Ternak (ekor),Orde,Luas Das (Km2),Panjang Sungai (Km),Lebar Max (m),"Kelerengan rata""",Q max (m3 / detik),Keterangan,E,S
,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
6,Lasolo,Lasolo - Konaweha,Lasolo,Non Lintas,1,3,741000006,Baik,Konawe Utara,,,,80.19,,,1,5960.7597,78.3,,45°,,,,
7,Amea,Lasolo - Konaweha,Lasolo,Non Lintas,1,3,741000007,Baik,Konawe Utara,,,,80.19,,,2,5960.7597,8.5,,,,,,
8,Anggomate,Lasolo - Konaweha,Lasolo,Non Lintas,1,3,741000008,Baik,Konawe Utara,,,,80.19,,,2,5960.7597,15.25,,,,,,
9,Amolame,Lasolo - Konaweha,Lasolo,Non Lintas,1,3,741000009,Baik,Konawe Utara,,,,80.19,,,2,5960.7597,10.5,,,,,,
10,Amorame,Lasolo - Konaweha,Lasolo,Non Lintas,1,3,741000010,Baik,Konawe Utara,,,,80.19,,,2,5960.7597,18.75,,,,,,
11,Longgea,Lasolo - Konaweha,Lasolo,Non Lintas,1,3,741000011,Baik,Konawe Utara,,,,80.19,,,2,5960.7597,13.4,,,,,,
12,Lorea,Lasolo - Konaweha,Lasolo,Non Lintas,1,3,741000012,Baik,Konawe Utara,,,,80.19,,,2,5960.7597,28.75,,,,,,
13,Tandangguli,Lasolo - Konaweha,Lasolo,Non Lintas,1,3,741000013,Baik,Konawe Utara,,,,80.19,,,2,5960.7597,14.25,,,,,,
14,Watuapi,Lasolo - Konaweha,Lasolo,Non Lintas,1,3,741000014,Baik,Konawe Utara,,,,80.19,,,2,5960.7597,17.3,,,,,,
15,Soluengge,Lasolo - Konaweha,Lasolo,Non Lintas,1,3,741000015,Baik,Konawe Utara,,,,80.19,,,2,5960.7597,10.45,,,,,,
16,Lalindu,Lasolo - Konaweha,Lasolo,Non Lintas,1,3,741000016,Baik,Konawe Utara,,,,80.19,,,2,5960.7597,150.8,,,,,,
17,Anggokoine,Lasolo - Konaweha,Lasolo,Non Lintas,1,3,741000017,Baik,Konawe Utara,,,,80.19,,,2,5960.7597,13.5,,,,,,
18,Warawo,Lasolo - Konaweha,Lasolo,Non Lintas,1,3,741000018,Baik,Konawe Utara,,,,80.19,,,2,5960.7597,13.3,,,,,,
19,Landawe,Lasolo - Konaweha,Lasolo,Non Lintas,1,3,741000019,Baik,Konawe Utara,Oheo,Landawe,,80.19,,,2,5960.7597,42.25,,,,,,
20,Lambure,Lasolo - Konaweha,Lasolo,Non Lintas,1,3,741000020,Baik,Konawe Utara,,,,80.19,,,2,5960.7597,29.75,,,,,,
