1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
51,P. 36KDI,Lasolo - Konaweha,DAS Konaweha,1,9,740700001,Konawe   ,Pondidaha,Duriasih,-,-,,,5,,,,,,,,,,,,,1500,,1996/1997,,,,,,,,,,,,,,,,,,
52,P. 02 KDI,Poleang - Roraya,DAS Kambu,1,9,740500002,Konawe Selatan,Ranomeeto,Jati Bali,19,19,D.I. Jati Bali,,9,,,,,,,,,,,,,-,,1993/1994,,,,,,,,,,,,,,,,,,
53,P. 37 KDI,Poleang - Roraya,DAS Abeli,1,9,740300003,Kendari,Abeli,Lapulu,-,-,,,12,,,,,,,,,,,,,250,,1996/1997,,,,,,,,,,,,,,,,,,
54,P. 02 KLK,Towari - Lasusua,DAS Mangolo,1,9,740400002,Kolaka,Kolaka,Mangolo,0,0,D.I. Wolonggere,,6.93,,,,,,,,,,,,,122,,1997/1998,,,,,,,,,,,,,,,,,,
55,P. 15BTN,Poleang - Roraya,DAS Lantawanua,1,9,740600015,Bombana,Rumbia,Aneka Marga,15,15,D.I. Aneka Marga,,12.4,,,,,,,,,,,,,-,,1995/1996,,,,,,,,,,,,,,,,,"4°38'39.25""","121°54'40.65"""
56,P. 02 Konut,Lasolo - Konaweha,DAS Kokapi,1,9,740900002,Konawe Utara,Sawah ,Sawah,-,-,,,0.44,,,,,,,,,,,,,-,,2002,,,,,,,,,,,,,,,,,,
57,P. 16BTN,Poleang - Roraya,DAS Lantawanua,1,9,740600016,Bombana,Rumbia,Aneka Marga,13,13,D.I. Aneka Marga,,11.4,,,,,,,,,,,,,-,,1995/1996,,,,,,,,,,,,,,,,,,
58,P. 02 MNA,Muna,DAS Katangana,1,9,740500007,Muna Barat,Maginti,Abadi Jaya,19,19,D.I. Maginti,,15.14,,,,,,,,,,,,,-,,2006,,,,,,,,,,,,,,,,,"04o  51'  00,7” ","122o  22’  27,6” "
59,P. 24 BTN,Poleang - Roraya,DAS Lantawanua,1,9,740600017,Bombana,Rumbia,Aneka Marga,13,13,D.I. Aneka Marga,,14.11,,,,,,,,,,,,,-,,1996/1997,,,,,,,,,,,,,,,,,,
60,P. 25BTN,Poleang - Roraya,DAS Mandumandula,1,9,740600018,Bombana,Lantari,Lantari,23,23,,,14.1,,,,,,,,,,,,,-,,1996/1997,,,,,,,,,,,,,,,,,"4°36'27.48""","121°59'48.33"""
61,P. 39KDI,Poleang - Roraya,DAS Kambu,1,9,740500009,Konawe Selatan,Ranomeeto,Ranomeeto,11,11,D.I. Ranomeeto,,13.2,,,,,,,,,,,,,-,,1996/1997,,,,,,,,,,,,,,,,,"4°3'44.81""","122°27'43.86"""
62,P. 03 KLK,Towari - Lasusua,DAS Mangolo,1,9,740400003,Kolaka,Kolaka,Kolakaasih,0,0,D.I. Wolonggere,,14.4,,,,,,,,,,,,,150,,1997/1998,,,,,,,,,,,,,,,,,,
63,P. 4 AB,Towari - Lasusua,DAS Poeha,1,9,740400006,Kolaka,Watubangga,Watubangga,13,13,,,4.4,,,,,,,,,,,,,-,,2006,,Rusak Berat,,,,,,,,,,,,,,,,
64,P. 03 Konut,Lasolo - Konaweha,DAS Motui,1,9,740900003,Konawe Utara,Motui,Kapulano,6,6,,,2.93,,,,,,,,,,,,,-,,2012,,,,,,,,,,,,,,,,,,
65,P. 36A BTN,Poleang - Roraya,DAS Lantawanua,1,9,740600019,Bombana,Rumbia,Aneka Marga,10,10,D.I. Aneka Marga,,4.4,,,,,,,,,,,,,-,,1998/1999,,,,,,,,,,,,,,,,,"4°37'33.64""","121°59'48.33"""
66,P. 37BTN,Poleang - Roraya,DAS Lantawanua,1,9,740600020,Bombana,Rumbia,Aneka Marga,12,12,D.I. Aneka Marga,,15.37,,,,,,,,,,,,,-,,1998/1999,,,,,,,,,,,,,,,,,"4°37'32.26""","121°59'35.16"""
67,P. 40KDI,Poleang - Roraya,DAS Kambu,1,9,740500010,Konawe Selatan,Ranomeeto,Ranomeeto,10,10,D.I. Ranomeeto,,13.2,,,,,,,,,,,,,-,,1996/1997,,,,,,,,,,,,,,,,,"4°2'47.30""","122°27'37.06"""
68,P. 03JICA,Poleang - Roraya,DAS Moolo,1,9,740500063,Konawe Selatan,Tinanggea,Lapulu,8,8,D.I. Lapulu,,9,,,,,,,,,,,,,-,,2000,2011,,,,,,,,,,,,,,,,"4°28'30.44""","122°14'57.72"""
69,P. 38BTN,Poleang - Roraya,DAS Lantawanua,1,9,740600021,Bombana,Rumbia,Aneka Marga,12,12,D.I. Aneka Marga,,15.14,,,,,,,,,,,,,-,,1998/1999,,,,,,,,,,,,,,,,,"4°37'34.26""","121°08.68"""
