,,DATA INFRASTRUKTUR EMBUNG SULAWESI TENGGARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TAHUN DATA :  2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,Nama Embung,I. INFORMASI WILAYAH SUNGAI,,II. KODIFIKASI,,,III. LOKASI,,III. LOKASI,IV. MANFAAT,,,IV. MANFAAT,,,V. DATA TEKNIS,,,V. DATA TEKNIS,,,,,,,,,,Koordinat,,,,,,,,,,,
,,Nama WS,Nama DAS,Kode bidang PU,Kode Dasar Jenis Infrastruktur,Kode Infrastruktur,Kabupaten / Kota,Kecamatan,Kelurahan / Desa,Irigasi (Ha),Potensi,DMI (m3/detik),Perkebunan (Ha),PLN,Ternak (ekor),Jenis Penanganan*,T.M.A sebelum Rehab (m), Kapasitas Sebelum Rehab (m3) , Irigasi Sebelum Rehab (ha) ,DMI Sebelum Rehab (m3/dtk),T.M.A sesudah Rehab (m),Kapasitas Sesudah Rehab (m3), Irigasi Sesudah Rehab (ha) ,DMI Sesudah Rehab (m3/dtk),Kapasitas Air Surut,Kapasitas Air Banjir,Tahun Pembuatan,Tahun Rehab Terakhir,Desimal,,GPS,,UTM,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S°,E°,LS,BT,X,Y,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,,,,,,
22,Baito,Poleang - Roraya,DAS Aosole,1,5,740500018,Konawe Selatan,Baito,Ahwangguluri,30,,-, - ,-,-,Jenis Embung Baru / pemerintah,-, - , - ,-,-,"32,000",30,-,,,2014,-,-4.233,122.322972,"4°13'58.800""","122°19'22.699""",424866.1307,9532085.009,*,,,,,
23,Wadonggo IV,Poleang - Roraya,DAS Roraya,1,5,740500019,Konawe Selatan,Tinanggea,Wadonggo,50,,-, - ,-,-,Jenis Embung Baru / pemerintah,-, - , - ,-,-,"40,000",50,-,,,2014,-,-4.41819,122.264936,"4°25'5.484""","122°15'53.770""",418444.9992,9511607.245,,,,,,
24,Watumolewe,Poleang - Roraya,DAS Roraya,1,5,740500020,Konawe Selatan,Tinanggea,Watumelewe,75,,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"10,000",53,-,-,"25,000",75,-,,,2014,-,-4.474056,122.293111,"4°28'26.602""","122°17'35.200""",421577.0699,9505434.564,*,,,,,
25,Wuura,Lasolo - Konaweha,DAS Konaweha,1,5,740500021,Konawe Selatan,Mowila,Wuura,130,,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"10,000",50,-,-,"25,000",130,-,,,2014,-,-4.091083,122.195278,"4°5'27.899""","122°11'43.001""",410678.312,9547759.946,*,,,,,
26,Repe,Poleang - Roraya,DAS Roraya,1,5,740500022,Konawe Selatan,Angata,Lamoeri,250,,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"32,000",150,-,-,"32,000",250,-,,,2014,-,-4.157792,122.210661,"4°9'28.051""","122°12'38.380""",412393.1942,9540387.211,*,,,,,
27,Towua,Poleang - Roraya,DAS Roraya,1,5,740500023,Konawe Selatan,Angata,Lamoeri,200,,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"20,000",150,-,-,"40,000",200,-,,,2014,-,-4.158556,122.200056,"4°9'30.802""","122°12'0.202""",411216.181,9540301.57,*,,,,,
28,Pugaria,Poleang - Roraya,DAS Manumuhue,1,5,740500024,Konawe Selatan,Laeya,Pangan Jaya,100,,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"10,000",75,-,-,"25,000",100,-,,,2014,-,-4.369361,122.575889,"4°22'9.700""","122°34'33.200""",452942.8822,9517031.668,*,,,,,
29,Lapoa,Poleang - Roraya,DAS Roraya,1,5,740500025,Konawe Selatan,Tinanggea,Roraya,100,,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"32,000",75,-,-,"50,000",100,-,,,2014,-,-4.414611,122.161472,"4°24'52.600""","122°9'41.299""",406964.5067,9511990.752,*,,,,,
30,Tanggeau,Towari - Lasusua,DAS Wolulu,1,5,740400002,Kolaka,Polingguna,Tanggeau,25,50,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"32,000", - ,-,-,"32,000",25,-,,,2015,-,-4.465533,121.612947,"4°27'55.919""","121°36'46.609""",346106.191,9506269.352,*,,,,,
31,Merongga Raya,Poleang - Roraya,DAS Roraya,1,5,740500026,Konawe Selatan,Lalembu,Merongga Raya,130,,-, - ,-,-,Jenis Embung Baru / pemerintah,-, - ,-,-,-,"45,000",130,-,,,2015,-,-4.380583,122.14575,"4°22'50.099""","122°8'44.700""",405215.7074,9515750.523,*,,,,,
32,Mataiwoi,Poleang - Roraya,DAS Roraya,1,5,740500027,Konawe Selatan,Andolo,Mataiwoi ,35,,-, - ,-,-,Jenis Embung Baru / pemerintah,-, - , - ,-,-,"25,000",35,-,,,2015,-,-4.362444,122.175786,"4°21'44.8""","122°10'32.8""",405213.4283,9517755.766,*,,,,,
33,Molo Indah 2,Poleang - Roraya,DAS Moolo,1,5,740500028,Konawe Selatan,Tinanggea,Moolo Indah,150,,-, - ,-,-,Jenis Embung Baru / pemerintah,-, - , - ,-,-,"40,000",150,-,,,2015,-,-4.417528,122.297028,"4°25'3,101""","122°17'49,301""",422005.7101,9511683.862,?,,,,,
34,Wolo,Towari - Lasusua,DAS Langgomali,1,5,740400003,Kolaka,Wolo,Samaenre,100,100,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"38,000", - ,-,-,"38,000",100,-,,,2016,-,-3.851696,121.31216,"3°51'6.106""","121°18'43.776""",312580.0134,9517759.48,*,,,,,
35,Karya Baru,Poleang - Roraya,DAS Poleang,1,5,740600001,Bombana,Poleang Utara,Karya Baru,75,170,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"40,000", - ,-,-,"40,000",75,-,,,2016,-,-4.692718,121.7396,"4°41'33.785""","121°44'22.560""",360204.8559,9481176.221,*,,,,,
36,Batu Putih,Towari - Lasusua,DAS Latowu,1,5,740800001,Kolaka Utara,Batu Putih,Lalewawo,150,200,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"480,000", - ,-,-,"480,000",150,-,,,2016,-,-3.028761,121.096482,"3°1'43.541""","121°5'47.334""",288441,9665042,*,,,,,
37,Tondowatu,Lasolo - Konaweha,DAS Motui,1,5,741000001,Konawe Utara,Motui,Tondowatu,130,250,-, - ,-,-,Jenis Embung Baru / pemerintah,4,"50,000", - ,-,-,"50,000",130,-,,,2016,-,-3.854026,122.384634,"3°51'14.494""","122°23'4.682""",431677.6811,9573983.221,*,,,,,
38,Bau-Bau,Buton,DAS Malaoge,1,5,747200001,Bau - Bau,Bungi,Kampeonahu,65,150,-, - ,-,-,Jenis Embung Baru / pemerintah,-,"25,000", - ,-,-,"25,000",65,-,,,2016,-,-5.342706,122.697686,"5°20'33.742""","122°41'51.670""",466505.0415,9409445.074,*,,,,,
39,Sumber Rejeki,Lasolo - Konaweha,DAS Konaweha,1,5,740300003,Konawe,Onembute,Trimulya,25,, - , - ,-, - ,Jenis Embung Baru / pemerintah,-,-, - ,-,-,,,-,,,2017,-,-4.054117,121.991109,"4°3'14.821""","121°59'27.992""",388008.9664,9551821.045,,,,,,
40,Aepodu,Poleang - Roraya,DAS Aosole,1,5,740500029,Konawe Selatan,Laeya,Aepodu,100,, - , - , - , - ,Jenis Embung Baru / pemerintah,-,-, - ,-,-,"45,000",,-,,,2017,-,-4.279253,122.410339,"4°16'45.311""","122°24'37.220""",434566.0436,9526980.022,,,,,,
41,Wolulu,Towari - Lasusua,DAS Towari,1,5,740600002,Bombana,Poleang Barat,Babamolingku,130,, - , - , - , - ,Jenis Embung Baru / pemerintah,-,-, - ,-,-,,,-,,,2017,-,-4.559986,121.686291,"4°33'35.950""","121°41'10.648""",354264.0241,9495841.017,,,,,,
42,Pangkuri,Poleang - Roraya,DAS Poleang,1,5,740600003,Bombana,Rarowatu,Pangkuri,150,, - , - , - , - ,Jenis Embung Baru / pemerintah,-,-, - ,-,-,"40,000",,-,,,2017,-,-4.710928,121.888455,"4°42'39.340""","121°53'18.438""",376720.27,9479190.947,,,,,,
43,Salulotong,Towari - Lasusua,DAS Lanipa,1,5,740800002,Kolaka Utara,Pakue Tengah,Salulotong,65,, - , - , - , - ,Jenis Embung Baru / pemerintah,-,-, - ,-,-,,,-,,,2017,-,-3.164889,121.079917,"3°9'53.600""","121°4'47.701""",286626.5664,9649983.657,,,,,,
44,Porehu,Pompengan - Larona,DAS Larona,1,5,740800003,Kolaka Utara,Porehu,Bangsala,75,, - , - , - , - ,Jenis Embung Baru / pemerintah,-,-, - ,-,-,,,-,,,2017,-,-3.054855,121.199776,"3°3'17.478""","121°11'59.194""",299929.9451,9662175.982,,,,,,
45,Sambasule,Lasolo - Konaweha,DAS Motui,1,5,741000002,Konawe Utara,Motui,Bende,100,, - , - , - , - ,Jenis Embung Baru / pemerintah,-, - , - ,-,-,"40,000",,-,,,2017,-,-3.823536389,122.4102742,"3°49'24.731""","122°24'36.987""",434522.2151,9577355.582,,,,,,
