,,DATA INFRASTRUKTUR BENDUNG SULAWESI TENGGARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TAHUN DATA :  2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Nama Bendung,I. INFORMASI WILAYAH SUNGAI,,II. KODIFIKASI,,,III. LOKASI,,,IV. MANFAAT,,,V. DATA TEKNIS,,,,V. DATA TEKNIS,,,,,,VI. KOORDINAT,,,,,,,,,,,,,
,,Nama WS,Nama DAS,Kode bidang PU,Kode Dasar Jenis Infrastruktur,Kode Infrastruktur,Kabupaten / Kota,Kecamatan,Kelurahan / Desa,Irigasi (ha),Manfaat DMI (Ha),PLN,Nama Sungai,Jenis Bendung,Tinggi (m),Lebar (m),Kondisi,Debit Intake (Hujan) m3/dtk,Debit Intake (Kemarau) m3/dtk,Tahun Pembuatan,Tahun Rehab Terakhir,APBN,Desimal,,,,,,,,,,GPS,,UTM,
,,,,,,,,,,,,,,,,,,,,,,,S°,E°,°,',"""",°,',"""",,,LS,BT,X,Y
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,,,,,,,,,26,27,28,29
41,Bendung Watumokala,Poleang - Roraya,DAS Roraya,1,8,740500021,Konawe Selatan,Andoolo,BEKENGGASU INDAH,250,-,-,Watumokala,Tetap,12.5,,Baik, - ,-,1991,-,APBN,-4.317959,122.139789,,,,,,,,,"4°19'4.652""","122°8'23.240""",404546.3655,9522672.777
42,Bendung Kambara,Muna,DAS katangana,1,8,740200002,Muna,Sawerigadi,Lawada Jaya,840,-,-,Katangana,Tetap,2,,Baik, - ,-,1994-1995,-,APBN,-4.8654,122.446087,,,,,,,,,"4°51'55.440""","122°26'45.913""",438583.0189,9462188.972
43,Bendung Lupia,Muna,DAS Lamanu,1,8,740200003,Muna,Kabawo,Bea,125,-,-,Wakobalu,Tetap,1.5,,Baik, - , - ,1995-1996,-,APBN,-4.968141,122.494963,,,,,,,,,"4°58'5.308""","122°29'41.867""",444011.0374,9450835.977
45,Bendung Ladongi,Lasolo - Konaweha,DAS Konaweha,1,8,741100002,Kolaka Timur,Ladongi,Atula,"3,600",-,-,Ladongi,Tetap,2.75,18,Baik,-,-,1995,2015,APBN,-4.148095,121.892506,,,,,,,,,"4°8'53.142""","121°53'33.022""",377076.6957,9541416.89
46,Bendung Benua Aporo,Poleang - Roraya,DAS Roraya,1,8,740500022,Konawe selatan,Lalembu,Teteinea Jaya,"1,000",-,-,Roraya,Tetap,3.5,30,Baik, - , - ,2004 - 2008,-,APBN,-4.341592,122.059791,,,,,,,,,"4°20'29.731""","122°3'35.248""",395671.8353,9520049.618
47,Bendung Lambandia,Towari - Lasusua,DAS Konaweha,1,8,740400002,Kolaka,Lambandia,Penanggo Jaya,"1,800",-,-,Lambandia,Tetap,1.75,26,Baik, - , - ,2012,2016,APBN,-4.308687,121.967904,,,,,,,,,"4°18'31.273""","121°58'4.454""",385469.8109,9523674.116
48,Bendung Sabiano,Towari - Lasusua,DAS Mekongga,1,8,740400003,Kolaka,Wundulako,Una Mendaa,400,-,-,Mekongga,Tetap,2,17,Baik, - , - ,2012,2012,APBN,-4.113131,121.651169,,,,,,,,,"4°6'47.272""","121°39'4.208""",350279.1015,9545241.184
49,Bendung Oko -Oko,Towari - Lasusua,DAS Oko-oko,1,8,740400004,Kolaka,Pomalaa,Oko-oko,750,-,-,Oko-oko,Tetap,1.5,12,Baik, - , - ,2012,-,APBN,-4.305106,121.589848,,,,,,,,,"4°18'18.382""","121°35'23.453""",343509.4529,9524002.869
50,Bendung Iwoikondo,Lasolo - Konaweha,DAS Konaweha,1,8,741100003,Kolaka Timur,Loea,Peatoa,115,-,-,Petoa,Tetap,1.5,12,Baik,-,-,,-,APBN,-4.092328,121.931212,,,,,,,,,"4°5'32.381""","121°55'52.363""",381365.0049,9547588.11
51,Bendung Landono II,Lasolo - Konaweha,DAS Konaweha,1,8,740500023,Konawe Selatan,Landono,Lakomea,69,-,-,Landono,Tetap,1.5,15.25,Baik,-,-,,-,APBN,-4.062787,122.302027,,,,,,,,,"4°3'46.033""","122°18'7.297""",422525.045,9550898.98
52,Bendung Tongauna,Lasolo - Konaweha,DAS Konaweha,1,8,741100004,Kolaka Timur,Uesi,Tonggauna,"3,065",-,-,Mokoseo,Tetap,2,36,Baik,4.377,-,2015,-,APBN,-3.464778,121.461194,,,,,,,,,"3°27'53.201""","121°27'40.298""",329059.7767,9616894.491
